ID,NumberOfLecturesWatched,ViewingTime,NumberOfConfirmationTestsCompleted,NumberOfConfirmationTestsMastered,AverageFirstAttemptCorrectAnswerRate,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
TKYHS082,4,9394,10,10,0.55,4.08,2.75,2.33,3.42,4.17
TKYHS084,13,20734,11,11,0.44,4.5,3.17,4.25,3.25,3.92
TKYHS086,1,2098,14,7,0.35,3.58,3.17,2.17,2.5,4.5
TKYHS087,14,19608,20,20,0.59,3.92,3,4.25,4.17,2.33
TKYHS088,14,24168,15,12,0.33,3.83,3.42,3,4,2.58
TKYHS089,2,8495,4,4,0.63,3.67,2.58,2.75,3.25,3.83
TKYHS090,2,3318,3,2,0.60,3.5,2.17,1.83,4.25,2.33
TKYHS091,8,12991,7,7,0.55,4,3.58,2.67,3.92,2.92
TKYHS093,0,1201,9,8,0.46,4.33,3.42,3.42,3.83,1.17
TKYHS094,0,3186,7,7,0.70,3.33,3.33,1.92,3.83,3
TKYHS097,0,2107,3,3,0.11,4.25,3.75,3.42,4.17,1.83
TKYHS099,11,15066,12,12,0.85,4.75,1.83,2.25,2.33,4.5
TKYHS100,1,681,23,23,0.67,2.75,3.67,4,3.75,3.75
TKYHS101,0,0,21,21,0.40,3.08,3.67,4.08,3.33,2.42
TKYHS103,5,1735,18,17,0.64,3.33,3.42,3.42,3.33,4.33
TKYHS104,1,427,19,18,0.64,4.08,3.25,4.17,3.25,2.08
TKYHS106,0,0,27,27,0.52,2.83,3.5,2.25,3.67,4.58
TKYHS107,3,860,7,5,0.45,3.83,2.5,3.58,4,2.58
TKYHS108,0,84,34,34,0.61,3.17,3,2.17,3.25,4.33
TKYHS109,0,0,33,33,0.65,4.42,3.42,3.42,2.75,3.08
TKYHS110,11,3644,44,35,0.60,2.58,2.83,2.42,3.92,2
TKYHS111,2,506,43,43,0.59,3,2.92,3.17,3.42,3.08
TKYHS112,12,3975,34,34,0.69,3.92,3.5,3.25,2.75,2.42
TKYHS113,3,875,17,16,0.67,4.17,3.08,3.92,2.58,1.58
TKYHS114,0,0,17,16,0.56,3,2.92,3.25,3.42,2.17
TKYHS115,0,0,7,7,0.47,2.83,3.83,3.08,3,1.58
TKYHS116,0,17,18,16,0.69,4.25,3.58,4.08,3.17,2.92
TKYHS117,0,139,14,12,0.70,2.83,2,2.33,2.08,3.83
TKYHS119,0,80,9,9,0.72,4.08,2.75,3.5,3.5,3.25
TKYHS120,6,3271,28,25,0.55,3,3,3.08,3.17,3
TKYHS122,12,4794,24,24,0.76,3.83,2.58,2.92,4,3.17
TKYHS123,4,1132,5,5,0.81,3.5,2.58,3.25,2.92,2.83
TKYHS124,15,5666,37,37,0.70,3.83,3,2.92,4.17,2.5
TKYHS125,3,1327,18,17,0.56,3.83,3,4,3.5,3.08
