ID,NumberOfLecturesWatched,ViewingTime,NumberOfConfirmationTestsCompleted,NumberOfConfirmationTestsMastered,AverageFirstAttemptCorrectAnswerRate,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
TKYHS072,11,22127,15,2,0.41,1.83,1,2.58,2.25,3
TKYHS073,4,8536,84,80,0.59,4.17,2.25,4.42,4.25,2
TKYHS075,8,25795,26,21,0.74,3.33,2.17,4.83,3.92,4.17
TKYHS076,18,33860,22,22,0.56,4.08,2.67,2.5,3.42,3.58
TKYHS077,10,19286,9,5,0.63,3.17,3.08,2.08,2.92,4
TKYHS078,3,15193,29,25,0.71,3.17,2.92,3.83,1.92,3.08
TKYHS079,23,34591,37,28,0.63,3.17,1.17,3.67,3.25,2.08
TKYHS080,6,21024,48,24,0.59,2.58,2.83,3.92,3.25,2.08
TKYHS081,11,27227,21,18,0.63,3.92,2.5,2.17,3.33,2.42
TKYHS082,6,25554,30,24,0.46,4.08,2.75,2.33,3.42,4.17
TKYHS084,64,117281,53,46,0.66,4.5,3.17,4.25,3.25,3.92
TKYHS086,7,19855,38,21,0.61,3.58,3.17,2.17,2.5,4.5
TKYHS087,22,51406,130,127,0.71,3.92,3,4.25,4.17,2.33
TKYHS088,50,92284,64,51,0.56,3.83,3.42,3,4,2.58
TKYHS089,9,35252,22,20,0.58,3.67,2.58,2.75,3.25,3.83
TKYHS090,15,29548,39,35,0.60,3.5,2.17,1.83,4.25,2.33
TKYHS091,58,68357,60,57,0.69,4,3.58,2.67,3.92,2.92
TKYHS093,1,9273,29,23,0.63,4.33,3.42,3.42,3.83,1.17
TKYHS094,8,25643,38,31,0.77,3.33,3.33,1.92,3.83,3
TKYHS097,3,4162,9,9,0.52,4.25,3.75,3.42,4.17,1.83
TKYHS099,19,45637,33,33,0.74,4.75,1.83,2.25,2.33,4.5
TKYHS100,5,1535,201,201,0.64,2.75,3.67,4,3.75,3.75
TKYHS101,8,2818,146,146,0.52,3.08,3.67,4.08,3.33,2.42
TKYHS103,6,2627,107,105,0.53,3.33,3.42,3.42,3.33,4.33
TKYHS104,2,646,243,242,0.58,4.08,3.25,4.17,3.25,2.08
TKYHS106,12,4999,180,176,0.48,2.83,3.5,2.25,3.67,4.58
TKYHS107,5,1273,72,69,0.42,3.83,2.5,3.58,4,2.58
TKYHS108,1,958,245,245,0.61,3.17,3,2.17,3.25,4.33
TKYHS109,0,0,89,89,0.63,4.42,3.42,3.42,2.75,3.08
TKYHS110,15,5240,164,152,0.66,2.58,2.83,2.42,3.92,2
TKYHS111,11,4121,196,194,0.55,3,2.92,3.17,3.42,3.08
TKYHS112,28,9570,221,221,0.69,3.92,3.5,3.25,2.75,2.42
TKYHS113,3,1017,101,100,0.69,4.17,3.08,3.92,2.58,1.58
TKYHS114,0,0,99,98,0.52,3,2.92,3.25,3.42,2.17
TKYHS115,3,1384,109,104,0.46,2.83,3.83,3.08,3,1.58
TKYHS116,1,66,101,97,0.72,4.25,3.58,4.08,3.17,2.92
TKYHS117,1,139,91,87,0.70,2.83,2,2.33,2.08,3.83
TKYHS119,1,450,99,99,0.65,4.08,2.75,3.5,3.5,3.25
TKYHS120,28,13110,157,145,0.52,3,3,3.08,3.17,3
TKYHS122,18,7133,77,77,0.75,3.83,2.58,2.92,4,3.17
TKYHS123,6,1579,325,325,0.70,3.5,2.58,3.25,2.92,2.83
TKYHS124,140,51178,358,356,0.67,3.83,3,2.92,4.17,2.5
TKYHS125,8,2959,159,157,0.51,3.83,3,4,3.5,3.08
